iter	RMSE
0	1.263853849
1	1.24274076
2	1.221108202
3	1.204033866
4	1.186338429
5	1.166824916
6	1.151882113
7	1.134570217
8	1.119682611
9	1.105668661
10	1.090938835
11	1.079100942
12	1.065736196
13	1.054667612
14	1.042591341
15	1.032120477
16	1.021669342
17	1.013987906
18	1.005163361
19	0.9949284771
20	0.9859529281
21	0.9783205762
22	0.9693501071
23	0.9611178381
24	0.9541684206
25	0.9473735014
26	0.9416113901
27	0.936333668
28	0.9318293157
29	0.9247369955
30	0.9198664156
31	0.9149655636
32	0.9089314943
33	0.9035870732
34	0.8983407286
35	0.8943766512
36	0.8902377357
37	0.8858747732
38	0.8803861742
39	0.8750957626
40	0.8705439767
41	0.8667500753
42	0.8632012907
43	0.8599730168
44	0.8544847874
45	0.8493668149
46	0.8461517108
47	0.8432269989
48	0.8390265278
49	0.8373435059
50	0.8337420616
51	0.8312070954
52	0.8277646448
53	0.8250147469
54	0.8220620928
55	0.8188849449
56	0.81689465
57	0.8141893257
58	0.8106533136
59	0.8082903131
60	0.8049480088
61	0.8039294989
62	0.8006504659
63	0.7978460698
64	0.7947635164
65	0.7915872619
66	0.7893900293
67	0.7877974925
68	0.78579121
69	0.7837335877
70	0.7813046865
71	0.7788977842
72	0.7770206729
73	0.773595848
74	0.7704719024
75	0.7688020422
76	0.767042527
77	0.765038362
78	0.7631610041
79	0.7612972689
80	0.7602502062
81	0.7573511406
82	0.75634055
83	0.7543828831
84	0.7527764484
85	0.7514468567
86	0.7494109523
87	0.7479270771
88	0.746326518
89	0.7439398442
90	0.7421456616
91	0.7405035225
92	0.7393183899
93	0.737667908
94	0.736331324
95	0.7338543379
96	0.7316118924
97	0.7300993096
98	0.7285427367
99	0.7272902789
100	0.7248179031
101	0.723997963
102	0.7213645241
103	0.7201450771
104	0.7175014235
105	0.7161773107
106	0.7141087039
107	0.713340542
108	0.7114014107
109	0.7095335123
110	0.7076792417
111	0.7056095611
112	0.704276313
113	0.7027892184
114	0.7007733213
115	0.6999203888
116	0.6979485557
117	0.6968263146
118	0.6953322564
119	0.6927723243
120	0.6912578676
121	0.6904483739
122	0.6887460141
123	0.6864975806
124	0.6851329684
125	0.6841096738
126	0.6829210771
127	0.6814883098
128	0.6807375057
129	0.6803227151
130	0.6794791654
131	0.6785447976
132	0.6771184334
133	0.6760676655
134	0.6750832979
135	0.6740698738
136	0.6734721714
137	0.6727741595
138	0.6712166731
139	0.6701896577
140	0.6682541865
141	0.6659249025
142	0.6648057731
143	0.6637591413
144	0.6620086646
145	0.6609142353
146	0.6598052577
147	0.6585840915
148	0.658186071
149	0.6574386428
150	0.6573011382
151	0.6561141737
152	0.6541875249
153	0.6525726048
154	0.6505456836
155	0.649986712
156	0.648623538
157	0.6471330014
158	0.6451668098
159	0.6442243724
160	0.6431780658
161	0.6417297231
162	0.6400420822
163	0.6391879346
164	0.6378078289
165	0.6360229908
166	0.634063065
167	0.6330289658
168	0.6317150991
169	0.6307854699
170	0.6290934345
171	0.6278230556
172	0.6268075749
173	0.6250254688
174	0.6237672791
175	0.6226472354
176	0.6215817623
177	0.6195998722
178	0.618969368
179	0.6174916695
180	0.6166979036
181	0.6156433449
182	0.6141005646
183	0.6127735606
184	0.6115075722
185	0.610525809
186	0.6094009901
187	0.6072193778
188	0.6062345984
189	0.6050546327
190	0.6039417329
191	0.6033355896
192	0.6024500151
193	0.6012939594
194	0.5999745743
195	0.5987219926
196	0.5968379642
197	0.5958435337
198	0.5942718975
199	0.5929130246
200	0.5916050947
201	0.5908254543
202	0.5894523077
203	0.5872768708
204	0.5861863595
205	0.5849380267
206	0.5830093395
207	0.5821325363
208	0.5806812627
209	0.5788813831
210	0.5774415535
211	0.5762227417
212	0.5751488674
213	0.5741204817
214	0.5721542973
215	0.5705421518
216	0.5690930634
217	0.5682945611
218	0.566931758
219	0.5659973671
220	0.5648735879
221	0.5629501867
222	0.5616069377
223	0.5602968861
224	0.5585904908
225	0.5572857849
226	0.5555172605
227	0.553791534
228	0.5521611145
229	0.5505360448
230	0.5495663629
231	0.5484345122
232	0.5480920427
233	0.5472846028
234	0.5460940255
235	0.5454250065
236	0.5442442729
237	0.5429608696
238	0.5417944781
239	0.5411362116
240	0.5404085955
241	0.5392989238
242	0.5381374478
243	0.5372694993
244	0.5355413466
245	0.5344992308
246	0.53306684
247	0.5314390799
248	0.5310626174
249	0.5298174886
250	0.5287131809
251	0.527568869
252	0.5267196802
253	0.5255963905
254	0.5243554649
255	0.5234619209
256	0.5226222493
257	0.5218140719
258	0.5207449665
259	0.5194614742
260	0.5186196006
261	0.5174234568
262	0.5162839187
263	0.5147998117
264	0.5141976124
265	0.5133620814
266	0.512894887
267	0.5120487528
268	0.5112398405
269	0.5107471655
270	0.5099808001
271	0.5093785856
272	0.5087857735
273	0.5084777073
274	0.5073729866
275	0.5069185311
276	0.5051788344
277	0.5044250579
278	0.5039631596
279	0.5026314521
280	0.501378829
